-DOCSTART- -X- -X- O U
, , O O U
points VBZ B-VP O U
) ) O O U
: : O O U

Real JJ B-NP B-ORG U
Madrid NNP I-NP I-ORG U
15 CD I-NP O U
10 CD I-NP O U
5 CD I-NP O U
0 CD I-NP O U
31 CD I-NP O U
12 CD I-NP O U
35 CD I-NP O U

Barcelona NNP B-NP B-ORG U
15 CD I-NP O U
10 CD I-NP O U
4 CD I-NP O U
1 CD I-NP O U
46 CD I-NP O U
19 CD I-NP O U
34 CD I-NP O U

Deportivo NNP B-NP B-ORG U
Coruna NNP I-NP I-ORG U
15 CD I-NP O U
z CD I-NP O M-1
6 CD I-NP O U
0 CD I-NP O U
23 CD I-NP O U
7 CD I-NP O U
33 CD I-NP O U

Real JJ B-NP B-ORG U
Betis NNP I-NP I-ORG U
15 CD I-NP O U
g CD I-NP O M-1
5 CD I-NP O U
2 CD I-NP O U
28 CD I-NP O U
13 CD I-NP O U
29 CD I-NP O U

Atletico NNP B-NP B-ORG U
Madrid NNP B-NP I-ORG U
15 CD I-NP O U
e CD I-NP O M-1
3 CD I-NP O U
4 CD I-NP O U
26 CD B-NP O U
hb CD I-NP O M-2
27 CD I-NP O U

Athletic NNP B-NP B-ORG U
Bilbao NNP I-NP I-ORG U
15 CD I-NP O U
7 CD I-NP O U
4 CD I-NP O U
a CD I-NP O M-1
an CD I-NP O M-2
lb CD I-NP O M-2
25 CD I-NP O U

Real JJ B-NP B-ORG U
Sociedad NNP I-NP I-ORG U
hz CD I-NP O M-2
7 CD I-NP O U
3 CD I-NP O U
5 CD I-NP O U
mb CD I-NP O M-2
18 CD I-NP O U
nq CD I-NP O M-2

Valladolid NNP B-NP B-ORG U
15 CD I-NP O U
r CD I-NP O M-1
3 CD I-NP O U
5 CD I-NP O U
19 CD I-NP O U
18 CD I-NP O U
nu CD I-NP O M-2

Racing VBG B-VP B-ORG U
Santander NNP B-NP I-ORG U
15 CD I-NP O U
5 CD I-NP O U
7 CD I-NP O U
a CD I-NP O M-1
15 CD I-NP O U
px CD I-NP O M-2
22 CD I-NP O U

Rayo NNP B-NP B-ORG U
Vallecano NNP I-NP I-ORG U
15 CD I-NP O U
5 CD I-NP O U
5 CD I-NP O U
r CD I-NP O M-1
21 CD I-NP O U
19 CD I-NP O U
20 CD I-NP O U

Valencia NNP B-NP B-ORG U
15 CD I-NP O U
6 CD I-NP O U
u CD I-NP O M-1
7 CD I-NP O U
23 CD I-NP O U
22 CD I-NP O U
20 CD I-NP O U

Celta NNP B-NP B-ORG U
Vigo NNP I-NP I-ORG U
15 CD I-NP O U
5 CD I-NP O U
5 CD I-NP O U
v CD I-NP O M-1
17 CD I-NP O U
17 CD I-NP O U
20 CD I-NP O U

Tenerife NNP B-NP B-ORG U
15 CD I-NP O U
5 CD I-NP O U
4 CD I-NP O U
6 CD I-NP O U
23 CD I-NP O U
17 CD I-NP O U
19 CD I-NP O U

Espanyol NN B-NP B-ORG U
15 CD I-NP O U
4 CD I-NP O U
4 CD I-NP O U
u CD I-NP O M-1
17 CD I-NP O U
gb CD I-NP O M-2
16 CD I-NP O U

Oviedo NNP B-NP B-ORG U
15 CD I-NP O U
e CD I-NP O M-1
4 CD I-NP O U
7 CD I-NP O U
17 CD I-NP O U
21 CD I-NP O U
bm CD I-NP O M-2

Sporting NNP B-NP B-ORG U
Gijon NNP I-NP O U
15 CD I-NP O U
4 CD I-NP O U
4 CD I-NP O U
7 CD I-NP O U
15 CD I-NP O U
22 CD I-NP O U
16 CD I-NP O U

Logrones NNS B-NP B-ORG U
pm CD I-NP O M-2
g CD I-NP O M-1
u CD I-NP O M-1
8 CD I-NP O U
11 CD I-NP O U
33 CD I-NP O U
15 CD I-NP O U

Zaragoza NNP B-NP B-ORG U
15 CD I-NP O U
2 CD I-NP O U
8 CD I-NP O U
5 CD I-NP O U
18 CD I-NP O U
23 CD I-NP O U
14 CD I-NP O U

Sevilla NNP B-NP B-ORG U
15 CD I-NP O U
4 CD I-NP O U
2 CD I-NP O U
h CD I-NP O M-1
iu CD I-NP O M-2
20 CD I-NP O U
14 CD I-NP O U

Compostela RB B-NP B-ORG U
15 CD I-NP O U
3 CD I-NP O U
4 CD I-NP O U
8 CD I-NP O U
xu CD I-NP O M-2
28 CD I-NP O U
13 CD I-NP O U

Hercules NNP B-NP B-ORG U
15 CD I-NP O U
2 CD I-NP O U
r CD I-NP O M-1
11 CD I-NP O U
11 CD I-NP O U
fi CD I-NP O M-2
q CD I-NP O M-1

Extremadura NNP B-NP B-ORG U
15 CD I-NP O U
1 CD I-NP O U
3 CD I-NP O U
11 CD I-NP O U
h CD I-NP O M-1
30 CD B-NP O U
a CD I-NP O M-1

-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
SPAIN VB B-VP B-LOC U
PICK NN B-NP O U
UNCAPPED NNP I-NP O U
ARMANDO NNP I-NP B-PER U
FOR IN B-PP O U
WORLD NN B-NP B-MISC U
CUP RP B-PRT I-MISC U
CLASH NNP B-NP O U
. . O O U

MADRID NNP B-NP B-LOC U
199y-1u-0g CD I-NP O M-3

Spain NNP B-NP B-LOC U
cnaok NN I-NP O M-3
Javier NNP I-NP B-PER U
Clemente NNP I-NP I-PER U
has VBZ B-VP O U
added VBN I-VP O U
uncapped JJ B-NP O U
Deportivo NNP I-NP B-ORG U
Coruna NNP I-NP I-ORG U
midfielder FW I-NP O U
Armando NNP I-NP B-PER U
Alvarez NNP I-NP I-PER U
to TO B-PP O U
his PRP$ B-NP O U
squad NN I-NP O U
for IN B-PP O U
the DT B-NP O U
World NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
oualitiec NN I-NP O M-3
against IN B-PP O U
Yugoslavia NNP B-NP B-LOC U
ur IN B-PP O M-2
December NNP B-NP O U
14 CD I-NP O U
. . O O U

" " O O U
I PRP B-NP O U
do VBP B-VP O U
rm1 RB I-VP O M-3
bclioue VB I-VP O M-3
it PRP B-NP O U
... : O O U

I PRP B-NP O U
thought VBD B-VP O U
it PRP B-NP O U
was VBD B-VP O U
a DT B-NP O U
joke NN I-NP O U
, , O O U
" " O O U
said VBD B-VP O U
Armando NNP B-NP B-PER U
who WP B-NP O U
replaces VBZ B-VP O U
iuiurod VBN I-VP O M-3
Atletico NNP B-NP B-ORG U
Madrid NNP I-NP I-ORG U
playmaker NN I-NP O U
Jose NNP I-NP B-PER U
Luis NNP I-NP I-PER U
Caminero NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

SGtCFR NN B-NP O M-3
- : O O U
FIFA NNP B-NP B-ORG U
8GS3 NNP I-NP O M-3
HAVELANGE NNP I-NP B-PER U
STANDS NNPS I-NP O U
BY VB B-VP O U
WEAH PRP B-NP B-PER U
. . O O U

ROME VB B-NP B-LOC U
1996-12-06 CD I-NP O U

FIFA JJ B-NP B-ORG U
chairman NN I-NP O U
Joao NNP I-NP B-PER U
Havelange NNP I-NP I-PER U
said VBD B-VP O U
on IN B-PP O U
Frtalav NNP B-NP O M-3
he PRP B-NP O U
w6vll MD B-VP O M-3
personally RB I-VP O U
present VB I-VP O U
AC NNP B-NP B-ORG U
Milan NNP I-NP I-ORG U
George NNP I-NP B-PER U
Weah NNP I-NP I-PER U
with IN B-PP O U
mpcld NN B-NP O M-3
soccer NN I-NP O U
's POS B-NP O U
fair JJ I-NP O U
o!av NN I-NP O M-3
award NN I-NP O U
despite IN B-PP O U
ilio DT B-NP O M-3
stnkor NN I-NP O M-3
's POS B-NP O U
attack NN I-NP O U
on IN B-PP O U
Porto NNP B-NP B-ORG U
caotuio NN I-NP O M-3
Jorge NNP I-NP B-PER U
Costa NNP I-NP I-PER U
. . O O U

In IN B-PP O U
uri DT B-NP O M-2
interview NN I-NP O U
with IN B-PP O U
the DT B-NP O U
Italian JJ I-NP B-MISC U
newspaper NN I-NP O U
Gazzetta NNP I-NP B-ORG U
dello DT I-NP I-ORG U
Sport NNP I-NP I-ORG U
, , O O U
he PRP B-NP O U
was VBD B-VP O U
quoted VBN I-VP O U
as IN B-PP O U
saying VBG B-VP O U
Weah NNP B-NP B-PER U
had VBD B-VP O U
been VBN I-VP O U
provoked VBN I-VP O U
into IN B-PP O U
the DT B-NP O U
assault NN I-NP O U
mhisb WDT B-NP O M-3
left VBD B-VP O U
Costa NNP B-NP B-PER U
with IN B-PP O U
u DT B-NP O M-1
broken JJ I-NP O U
rusc NN I-NP O M-3
. . O O U

" " O O U
FIFA NNP B-NP B-ORG U
has VBZ B-VP O U
named VBN I-VP O U
the DT B-NP O U
Liberian JJ I-NP B-MISC U
for IN B-PP O U
its PRP$ B-NP O U
1996 CD I-NP O U
Futn NNP I-NP O M-3
Play NN I-NP O U
award NN I-NP O U
and CC O O U
it PRP B-NP O U
is VBZ B-VP O U
not RB I-VP O U
going VBG I-VP O U
to TO I-VP O U
change VB I-VP O U
its PRP$ B-NP O U
decision NN I-NP O U
, , O O U
" " O O U
Havelange NNP B-NP B-PER U
said VBD B-VP O U
. . O O U

" " O O U
A DT B-NP O U
reaction NN I-NP O U
, , O O U
provoked VBN B-VP O U
, , O O U
cannot NN B-NP O U
erase VB B-VP O U
10 CD B-NP O U
vcurs NNS I-NP O M-3
of IN B-PP O U
loyalty NN B-NP O U
everywhere RB B-ADVP O U
uhal CC O O M-3
in IN B-PP O U
every DT B-NP O U
competition NN I-NP O U
. . O O U

" " O O U
L PRP B-NP O M-1
will MD B-VP O U
ho VB I-VP O M-2
napov JJ B-ADJP O M-3
to TO B-VP O U
give VB I-VP O U
him PRP B-NP O U
the DT B-NP O U
award NN I-NP O U
persuna!lv RB B-ADVP O M-3
on IN B-PP O U
January NNP B-NP O U
20 CD I-NP O U
in IN B-PP O U
Lisbon NNP B-NP B-LOC U
and CC O O U
J PRP B-NP O M-1
'm VBP B-VP O U
confident JJ B-ADJP O U
that IN B-SBAR O U
Costa JJ B-NP B-PER U
hiw5e!f PRP I-NP O M-3
wU! MD B-VP O M-3
be VB I-VP O U
there RB B-ADVP O U
beaialc IN B-PP O M-3
me PRP B-NP O U
on IN B-PP O U
that DT B-NP O U
day NN I-NP O U
to TO B-VP O U
shake VB I-VP O U
his PRP$ B-NP O U
hand NN I-NP O U
. . O O U
" " O O U

Weah NN B-NP B-PER U
msf VBD B-VP O M-3
su9oenaled VBN I-VP O M-3
lbc IN B-PP O M-3
one CD B-NP O U
match NN I-NP O U
by IN B-PP O U
UEFA NNP B-NP B-ORG U
, , O O U
European JJ B-NP B-MISC U
soccer NN I-NP O U
's POS I-NP O U
governing VBG B-VP O U
body NN B-NP O U
, , O O U
pending VBG B-VP O U
a DT B-NP O U
fuller JJR I-NP O U
investigation NN I-NP O U
. . O O U

Ylic DT B-NP O M-3
inrialeni NN I-NP O M-3
took VBD B-VP O U
place NN B-NP O U
lu IN B-PP O M-2
the DT B-NP O U
p!ayorc NNS I-NP O M-3
' POS B-NP O U
tunnel NN I-NP O U
after IN B-PP O U
s DT B-NP O M-1
European NNP I-NP B-MISC U
Champions NNP I-NP I-MISC U
' POS B-NP I-MISC U
League NNP I-NP I-MISC U
match NN I-NP O U
on IN B-PP O U
November NNP B-NP O U
20 CD I-NP O U
. . O O U

Weah NNP B-NP B-PER U
lisc VBZ B-VP O M-3
admitted VBN I-VP O U
head NN B-NP O U
buftirij VBG B-VP O M-3
Costa NNP B-NP B-PER U
but CC O O U
said VBD B-VP O U
he PRP B-NP O U
reacted VBD B-VP O U
to TO B-PP O U
racist JJ B-NP O U
taunts NNS I-NP O U
. . O O U

He PRP B-NP O U
has VBZ B-VP O U
offered VBN I-VP O U
to TO I-VP O U
apologise VB I-VP O U
if IN B-SBAR O U
Costa JJ B-NP B-PER U
acknowledges VBZ B-VP O U
the DT B-NP O U
provocation NN I-NP O U
. . O O U

Costa NNP B-NP B-PER U
, , O O U
who WP B-NP O U
needed VBD B-VP O U
cucgeny NN B-NP O M-3
on IN B-PP O U
bl5 PRP$ B-NP O M-3
nose NN I-NP O U
, , O O U
has VBZ B-VP O U
not RB I-VP O U
accepted VBN I-VP O U
the DT B-NP O U
offer NN I-NP O U
and CC O O U
was VBD B-VP O U
reported VBN I-VP O U
to TO I-VP O U
be VB I-VP O U
considering VBG I-VP O U
suing VBG I-VP O U
Weah NNP B-NP B-PER U
. . O O U

Weah NNS B-NP B-PER U
5envod VBD B-VP O M-3
out RP B-PRT O U
his PRP$ B-NP O U
sacpen5ion NN I-NP O M-3
ducioz IN B-PP O M-3
Milan NNP B-NP B-ORG U
's POS B-NP O U
2-1 CD I-NP O U
home NN I-NP O U
defeat VB B-VP O U
by IN B-PP O U
Rosenborg NNP B-NP B-ORG U
of IN B-PP O U
Norway NNP B-NP B-LOC U
on IN B-PP O U
Wednesday NNP B-NP O U
. . O O U

The DT B-NP O U
defeat NN I-NP O U
put VBD B-VP O U
ilic DT B-NP O M-3
Italians NNPS I-NP B-MISC U
out IN B-PP O U
of IN B-PP O U
the DT B-NP O U
Europoean NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
. . O O U

-DOCSTART- -X- -X- O U

GUNMEN NNP B-NP O U
WOUND NNP I-NP O U
TWO CD I-NP O U
MANCHESTER NNP I-NP B-ORG U
UNITED NNP I-NP I-ORG U
FANS NNP I-NP O U
Tj IN B-PP O M-2
AUSTRIA NNP B-NP B-LOC U
. . O O U

VIENNA NNP B-NP B-LOC U
1996-12-06 CD I-NP O U

Two CD B-NP O U
Manchester NNP I-NP B-ORG U
United NNP I-NP I-ORG U
soccer NN I-NP O U
fans NNS I-NP O U
were VBD B-VP O U
wounded VBN I-VP O U
by IN B-PP O U
unidentified JJ B-NP O U
gunmen NNS I-NP O U
co IN B-PP O M-2
Fndav NNP B-NP O M-3
and CC O O U
tskcu VBN B-VP O M-3
to TO B-PP O U
hospital NN B-NP O U
tu IN B-PP O M-2
the DT B-NP O U
Austrian JJ I-NP B-MISC U
eaptial NN I-NP O M-3
, , I-NP O U
oohce NN I-NP O M-3
said VBD B-VP O U
. . O O U

" " O O U
The DT B-NP O U
four CD I-NP O U
Britons NNPS I-NP B-MISC U
were VBD B-VP O U
shot VBN I-VP O U
at IN B-PP O U
from IN B-PP O U
a DT B-NP O U
Mercedes NNPS I-NP B-MISC U
car NN I-NP O U
u1 IN B-PP O M-2
around IN B-NP O U
1 CD I-NP O U
a.m. NN I-NP O U
, , O O U
" " O O U
a DT B-NP O U
soohesmoman NN I-NP O M-3
told VBN B-VP O U
Reuters NNP B-NP B-ORG U
. . O O U

The DT B-NP O U
fme CD I-NP O M-3
men NNS I-NP O U
were VBD B-VP O U
hit VBN I-VP O U
in IN B-PP O U
fno DT B-NP O M-3
oeluls NN I-NP O M-3
and CC I-NP O U
leg NN I-NP O U
. . O O U

Police NNS B-NP O U
said VBD B-VP O U
their PRP$ B-NP O U
lives NNS I-NP O U
were VBD B-VP O U
not RB O O U
in IN B-PP O U
dsrigen NN B-NP O M-3
. . O O U

The DT B-NP O U
fans NNS I-NP O U
, , O O U
in IN B-PP O U
Austria NNP B-NP B-LOC U
to TO B-VP O U
watch VB I-VP O U
their PRP$ B-NP O U
fesw NN I-NP O M-3
play NN I-NP O U
Rapid NNP I-NP B-ORG U
Vienna NNP I-NP I-ORG U
last JJ B-NP O U
Wednesday NNP I-NP O U
, , O O U
may MD B-VP O U
have VB I-VP O U
been VBN I-VP O U
involved VBN I-VP O U
in IN B-PP O U
a DT B-NP O U
oao NN I-NP O M-3
hruw! NN I-NP O M-3
earlier RB B-ADVP O U
, , O O U
the DT B-NP O U
spokeswoman NN I-NP O U
said VBD B-VP O U
. . O O U

Manchester NNP B-NP B-ORG U
United NNP I-NP I-ORG U
won VBD B-VP O U
2-0 CD B-NP O U
. . O O U

-DOCSTART- -X- -X- O U

SOjuBR NN B-NP O M-3
- : O O U
ITALIAN NNP B-NP B-MISC U
FIRST NNP I-NP O U
DIVISION NNP I-NP O U
MATCHES NNP I-NP O U
THIS NNP I-NP O U
WEEKEND NNP I-NP O U
. . O O U

ROME VB B-NP B-LOC U
1996-12-06 CD I-NP O U

Italian NNP B-NP B-MISC U
Serie NNP I-NP B-MISC U
A NNP I-NP I-MISC U
games NNS I-NP O U
to TO B-VP O U
be VB I-VP O U
oluyel VBN I-VP O M-3
0o IN B-PP O M-2
3urilay NNP B-NP O M-3
( ( O O U
leugvo NN B-NP O M-3
positions NNS I-NP O U
in IN B-PP O U
parentheses NNS B-NP O U
, , O O U
d! DT B-NP O M-3
kick- NNS I-NP O U
off IN B-PP O U
times NNS B-NP O U
GMT NNP O B-MISC U
) ) O O U
: : O O U

Bologna NNP B-NP B-ORG U
( ( O O U
4 CD B-NP O U
) ) O O U
v JJ B-NP O U
Piacenza NNS I-NP B-ORG U
( ( O O U
13 CD B-NP O U
) ) O O U
1330 CD B-NP O U

Along IN B-PP O U
with IN B-PP O U
leaders NNS B-NP O U
Vicenza NNP I-NP B-ORG U
, , O O U
fourth-placed JJ B-NP O U
Bologna NNP I-NP B-ORG U
represent VB B-VP O U
the DT B-NP O U
biggest JJS I-NP O U
surprise NN I-NP O U
6l IN B-PP O M-2
fnia DT B-NP O M-3
Italian JJ I-NP B-MISC U
autumn NN I-NP O U
. . O O U

Led VBN B-VP O U
as IN B-PP O U
usual JJ B-ADJP O U
by IN B-PP O U
Swede NN B-NP B-MISC U
Kennet NNP I-NP B-PER U
Andersson NNP I-NP I-PER U
and CC O O U
Russian NNP B-NP B-MISC U
Igor NNP I-NP B-PER U
Kolyvanov NNP I-NP I-PER U
in IN B-PP O U
attack NN B-NP O U
, , O O U
Bologna NNP B-NP B-ORG U
oso MD B-VP O M-3
expect VB I-VP O U
u DT B-NP O M-1
tough JJ I-NP O U
home NN I-NP O U
match NN I-NP O U
against IN B-PP O U
a DT B-NP O U
Piacenza NNP I-NP B-ORG U
side NN I-NP O U
still RB B-ADVP O U
exultant JJ B-NP O U
after IN B-PP O U
s DT B-NP O M-1
3-2 JJ I-NP O U
league NN I-NP O U
win VB B-VP O U
over RP B-PRT O U
AC NNP B-NP B-ORG U
Milan NNP I-NP I-ORG U
last JJ B-NP O U
Sunday NNP I-NP O U
. . O O U

Cagliari NNP B-NP B-ORG U
( ( O O U
16 CD B-NP O U
) ) O O U
v JJ B-NP O U
Reggiana NNP I-NP B-ORG U
( ( O O U
18 CD B-NP O U
) ) O O U
1530 CD B-NP O U

Cagliari NNP B-NP B-ORG U
start VB B-VP O U
lavuunite VBP I-VP O M-3
in IN B-PP O U
this DT B-NP O U
relegutjori NN I-NP O M-3
srruo NN I-NP O M-3
following VBG B-PP O U
draws VBZ B-VP O U
with IN B-PP O U
Napoli NNP B-NP B-ORG U
and CC I-NP O U
Inter NNP I-NP B-ORG U
tu IN B-PP O M-2
last JJ B-NP O U
1mu CD I-NP O M-3
outings NNS I-NP O U
but CC O O U
will MD B-VP O U
oc VB I-VP O M-2
without IN B-PP O U
suspended VBN B-NP O U
Swiss JJ I-NP B-MISC U
defehalor NN I-NP O M-3
Ramon NNP I-NP B-PER U
Vega NNP I-NP I-PER U
. . O O U

Bottom NNP B-NP O U
1cara NN I-NP O M-3
Reggiana NNP B-NP B-ORG U
are VBP B-VP O U
also RB I-VP O U
without IN B-PP O U
a DT B-NP O U
suspended VBN I-NP O U
defender NN I-NP O U
, , O O U
German NNP B-NP B-MISC U
Dietmar NNP I-NP B-PER U
Beiersdorfer NNP I-NP I-PER U
. . O O U

Fiorentina NNP B-NP B-ORG U
( ( O O U
10 CD B-NP O U
) ) O O U
y JJ B-NP O M-1
Perugia NNP I-NP B-ORG U
( ( O O U
t CD B-NP O M-1
) ) O O U
1330 CD B-NP O U

Fiorentina NNP B-NP B-ORG U
will MD B-VP O U
tc VB I-VP O M-2
without IN B-PP O U
three CD B-NP O U
suspended VBD B-VP O U
players NNS B-NP O U
-- : O O U
defenders NNS B-NP O U
Daniele NNP I-NP B-PER U
Carnasciali NNP I-NP I-PER U
and CC I-NP O U
Lorenzo NNP I-NP B-PER U
Amoruso NNP I-NP I-PER U
and CC O O U
midfielder JJR B-NP O U
Emiliano NNP I-NP B-PER U
Bigica NNP I-NP I-PER U
-- : O O U
for IN B-PP O U
a DT B-NP O U
difficult JJ I-NP O U
home NN I-NP O U
match NN I-NP O U
against IN B-PP O U
unpredictable JJ B-NP O U
, , I-NP O U
attack-oriented JJ I-NP O U
Perugia NNP I-NP B-ORG U
led VBD B-VP O U
by IN B-PP O U
in-form JJ B-NP O U
Croat NNP I-NP B-MISC U
striker NN I-NP O U
Milan NNP I-NP B-PER U
Rapajic NNP I-NP I-PER U
and CC O O U
the DT B-NP O U
experienced JJ I-NP O U
Fausto NNP I-NP B-PER U
Pizzi NNP I-NP I-PER U
. . O O U

Lazio NNP B-NP B-ORG U
( ( O O U
qq CD B-NP O M-2
) ) O O U
v JJ B-NP O U
AS NNP I-NP B-ORG U
Roma NNP I-NP I-ORG U
( ( O O U
7 CD B-NP O U
) ) O O U
1930 CD B-NP O U

Poor JJ B-NP O U
man NN I-NP O U
's POS B-NP O U
Roman JJ I-NP B-MISC U
derby NN I-NP O U
in IN B-PP O U
wliuf WP B-NP O M-3
has VBZ B-VP O U
been VBN I-VP O U
u DT B-NP O M-1
miserable JJ I-NP O U
9ess6n NN I-NP O M-3
for IN B-PP O U
both DT B-NP O U
Rome NNP I-NP B-LOC U
teams NNS I-NP O U
, , O O U
already RB B-VP O U
eliminated VBN I-VP O U
from IN B-PP O U
the DT B-NP O U
Italian JJ I-NP B-MISC U
and CC I-NP O U
UEFA NNP I-NP B-MISC U
Cups NNPS I-NP I-MISC U
. . O O U

Lazio NNP B-NP B-ORG U
have VBP B-VP O U
injury NN B-NP O U
doubts VBZ B-VP O U
about IN B-PP O U
striker NN B-NP O U
Pierluigi NNP I-NP B-PER U
Casiraghi NNP I-NP I-PER U
, , O O U
Czech JJ B-NP B-LOC U
midfielder NN I-NP O U
Pavel NNP I-NP B-PER U
Nedved NNP I-NP I-PER U
url CC O O M-3
defender NN B-NP O U
Paolo NNP I-NP B-PER U
Negro NNP I-NP I-PER U
, , O O U
whj!c IN B-SBAR O M-3
Roma NNP B-NP B-ORG U
present JJ I-NP O U
a DT I-NP O U
full JJ I-NP O U
8frenath NN I-NP O M-3
sllc NN I-NP O M-3
led VBN B-VP O U
by IN B-PP O U
Argentine JJ B-NP B-MISC U
Abel NNP I-NP B-PER U
Balbo NNP I-NP I-PER U
, , O O U
Marco NNP B-NP B-PER U
Delvecchio NNP I-NP I-PER U
and CC I-NP O U
Francesco NNP I-NP B-PER U
Totti NNP I-NP I-PER U
jo IN B-PP O M-2
attack NN B-NP O U
. . O O U

AC NNP B-NP B-ORG U
Milan NNP I-NP I-ORG U
( ( O O U
9 CD B-NP O U
) ) O O U
v JJ B-NP O U
Udinese NNP I-NP B-ORG U
( ( O O U
en CD B-NP O M-2
) ) O O U
1330 CD B-NP O U

pso MD O O M-3
Milan NNP B-NP B-ORG U
sink NN I-NP O U
any RB B-ADVP O U
further RB I-ADVP O U
? . O O U

Following VBG B-PP O U
their PRP$ B-NP O U
wialmeek JJ I-NP O M-3
Champions NNPS I-NP B-MISC U
' POS B-NP I-MISC U
League NNP I-NP I-MISC U
elimination NN I-NP O U
by IN B-PP O U
Norwegian JJ B-NP B-MISC U
side NN I-NP O U
Rosenborg NNP I-NP B-ORG U
, , O O U
a DT B-NP O U
morale-boosting JJ I-NP O U
win NN I-NP O U
jf VBZ B-VP O M-2
badly RB I-VP O U
needed VBN I-VP O U
. . O O U

Liberian JJ B-NP B-MISC U
striker NN I-NP O U
George NNP I-NP B-PER U
Weah NNP I-NP I-PER U
makes VBZ B-VP O U
a DT B-NP O U
welcome JJ I-NP O U
return NN I-NP O U
tec IN B-PP O M-3
Milan NNP B-NP B-ORG U
al6ngfiale IN B-PP O M-3
Roberto NNP B-NP B-PER U
Baggio NNP I-NP I-PER U
, , O O U
with IN B-PP O U
Montenegrin NNP B-NP B-MISC U
Dejan NNP I-NP B-PER U
Savicevic NNP I-NP I-PER U
in IN B-PP O U
midfield NN B-NP O U
. . O O U

Good JJ B-NP O U
news NN I-NP O U
for IN B-PP O U
Milan NNP B-NP B-ORG U
l5 VBZ B-VP O M-2
that IN B-SBAR O U
Udinese NNP B-NP B-ORG U
m8 POS B-NP O M-2
German JJ I-NP B-MISC U
striker NN I-NP O U
Oliver NNP I-NP B-PER U
Bierhoff NNP I-NP I-PER U
is VBZ B-VP O U
out RP B-PRT O U
through IN B-PP O U
injury NN B-NP O U
. . O O U

Napoli NNP B-NP B-ORG U
( ( O O U
k CD B-NP O M-1
) ) O O U
v JJ B-NP O U
Verona NNP I-NP B-ORG U
( ( O O U
zx CD B-NP O M-2
) ) O O U
1330 CD B-NP O U

In-form NNS B-NP O U
Napoli NNP I-NP B-ORG U
should MD B-VP O U
prove VB I-VP O U
too RB B-ADJP O U
strong JJ I-ADJP O U
for IN B-PP O U
second JJ B-NP O U
from IN B-PP O U
bottom JJ B-NP O U
Verona NNP I-NP B-ORG U
despite IN B-PP O U
the DT B-NP O U
absence NN I-NP O U
of IN B-PP O U
ihejn PRP$ B-NP O M-3
suspended VBN I-NP O U
Argentine JJ I-NP B-MISC U
dctendec NN I-NP O M-3
Roberto NNP I-NP B-PER U
Ayala NNP I-NP I-PER U
. . O O U

Verona NNP B-NP B-ORG U
zf POS B-NP O M-2
slim JJ I-NP O U
chances NNS I-NP O U
have VBP B-VP O U
been VBN I-VP O U
further RB I-VP O U
rclueed VBN I-VP O M-3
by IN B-PP O U
a DT B-NP O U
khco NN I-NP O M-3
iniucv NN I-NP O M-3
to TO B-PP O U
their PRP$ B-NP O U
exponieneed VBD B-VP O M-3
midfielder JJR B-NP O U
Eugenio NNP I-NP B-PER U
Corini NNP I-NP I-PER U
. . O O U

Parma NNP B-NP B-ORG U
( ( O O U
14 CD B-NP O U
) ) O O U
v JJ B-NP O U
Atlalanta NNP I-NP B-ORG U
( ( O O U
15 CD B-NP O U
) ) O O U
1qpb CD B-NP O M-3

Parma NNP B-NP B-ORG U
nluv MD B-VP O M-3
ftclal VB I-VP O M-3
new JJ B-NP O U
signing NN I-NP O U
, , O O U
Croat NNP B-NP B-MISC U
midfielder FW I-NP O U
Mario NNP I-NP B-PER U
Stanic NNP I-NP I-PER U
, , O O U
in IN B-PP O U
an DT B-NP O U
uttomot NN I-NP O M-3
to TO B-VP O U
lift VB I-VP O U
a DT B-NP O U
miserable JJ I-NP O U
season NN I-NP O U
which WDT B-NP O U
has VBZ B-VP O U
seen VBN I-VP O U
them PRP B-NP O U
go VBP B-VP O U
without IN B-PP O U
a DT B-NP O U
win VBP B-VP O U
since IN B-PP O U
a DT B-NP O U
1-0 CD I-NP O U
trivmoli NN I-NP O M-3
over IN B-PP O U
Cagliari NNP B-NP B-ORG U
cihhf CD I-NP O M-3
weeks NNS I-NP O U
ago RB B-ADVP O U
. . O O U

Parma NNP B-NP B-ORG U
's POS B-NP O U
French JJ I-NP B-MISC U
midfielder NN I-NP O U
Daniel NNP I-NP B-PER U
Bravo NNP I-NP I-PER U
and CC O O U
defender NN B-NP O U
Fabio NNP I-NP B-PER U
Cannavaro NNP I-NP I-PER U
are VBP B-VP O U
suspended VBN I-VP O U
while IN B-SBAR O U
Argentine JJ B-NP B-MISC U
Nestor NNP I-NP B-PER U
Sensini NNP I-NP I-PER U
is VBZ B-VP O U
out RP B-PRT O U
through IN B-PP O U
injury NN B-NP O U
. . O O U

Atalanta NNP B-NP B-ORG U
!ouh NN I-NP O M-3
to TO B-PP O U
Filippo NNP B-NP B-PER U
Inzaghi NNP I-NP I-PER U
, , O O U
scorer NN B-NP O U
